code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
2922003;1,07532709343097e+00;8,48851587596102e-01;1,36222677175093e+00;5,47253819848930e-01;;7,07891884627755e-01;Estável
2922052;1,05558966640918e+00;7,93451525615433e-01;1,40433222176436e+00;7,10307225252221e-01;;8,52756200507898e-01;Estável
2922102;;;;;casos insuficientes;;Não estimável
2922201;;;;;casos insuficientes;;Não estimável
2922250;;;;;casos insuficientes;;Não estimável
2922300;;;;;casos insuficientes;;Não estimável
2922409;1,20467102978418e+00;9,74731356437944e-01;1,48885360096002e+00;8,48656024548187e-02;;1,81854862403183e-01;Estável
2922508;;;;;casos insuficientes;;Não estimável
2922607;;;;;casos insuficientes;;Não estimável
2922656;;;;;casos insuficientes;;Não estimável
2922706;;;;;casos insuficientes;;Não estimável
2922730;;;;;casos insuficientes;;Não estimável
2922755;;;;;casos insuficientes;;Não estimável
2922805;;;;;casos insuficientes;;Não estimável
2922854;;;;;casos insuficientes;;Não estimável
2922904;6,88210351520122e-01;4,59527531352733e-01;1,03069665172224e+00;6,97941255984607e-02;;1,55098056885468e-01;Estável
2923001;;;;;casos insuficientes;;Não estimável
2923035;;;;;casos insuficientes;;Não estimável
2923050;;;;;casos insuficientes;;Não estimável
2923100;;;;;casos insuficientes;;Não estimável
2923209;;;;;casos insuficientes;;Não estimável
2923308;;;;;casos insuficientes;;Não estimável
2923357;;;;;casos insuficientes;;Não estimável
2923407;;;;;casos insuficientes;;Não estimável
2923506;;;;;casos insuficientes;;Não estimável
2923605;;;;;casos insuficientes;;Não estimável
2923704;;;;;casos insuficientes;;Não estimável
2923803;9,45362121636884e-01;8,01523864810440e-01;1,11501301491148e+00;5,04639062456407e-01;;6,72852083275210e-01;Estável
2923902;;;;;casos insuficientes;;Não estimável
2924009;9,07852832089670e-01;6,61866065484010e-01;1,24526215757944e+00;5,48792780407084e-01;;7,07891884627755e-01;Estável
2924058;;;;;casos insuficientes;;Não estimável
2924108;;;;;casos insuficientes;;Não estimável
2924207;;;;;casos insuficientes;;Não estimável
2924306;;;;;casos insuficientes;;Não estimável
2924405;;;;;casos insuficientes;;Não estimável
2924504;;;;;casos insuficientes;;Não estimável
2924603;;;;;casos insuficientes;;Não estimável
2924652;;;;;casos insuficientes;;Não estimável
2924678;;;;;casos insuficientes;;Não estimável
2924702;6,58402936908680e-01;5,22167877738451e-01;8,30182103900133e-01;4,10232423687525e-04;;2,46139454212515e-03;Decrescente
2924801;;;;;casos insuficientes;;Não estimável
2924900;;;;;casos insuficientes;;Não estimável
2925006;9,02130323975309e-01;6,70604057465728e-01;1,21359110845730e+00;4,96089224586824e-01;;6,68884347757516e-01;Estável
2925105;;;;;casos insuficientes;;Não estimável
2925204;;;;;casos insuficientes;;Não estimável
2925253;;;;;casos insuficientes;;Não estimável
2925303;1,02083263296859e+00;7,44204934121030e-01;1,40028534715965e+00;8,98258233866755e-01;;9,37312939687049e-01;Estável
2925402;;;;;casos insuficientes;;Não estimável
2925501;;;;;casos insuficientes;;Não estimável
2925600;;;;;casos insuficientes;;Não estimável
2925709;;;;;casos insuficientes;;Não estimável
2925758;8,07196330498523e-01;7,74013570615206e-01;8,41801669513882e-01;1,51435968994592e-23;;6,05743875978369e-22;Decrescente
2925808;;;;;casos insuficientes;;Não estimável
2925907;2,17665369884775e+00;1,45737977717286e+00;3,25091743340805e+00;1,44589351329057e-04;;1,08442013496793e-03;Crescente
2925931;;;;;casos insuficientes;;Não estimável
2925956;6,20274351060393e-01;4,66529054549862e-01;8,24686623118499e-01;1,01524261406943e-03;;5,23775660506344e-03;Decrescente
2926004;;;;;casos insuficientes;;Não estimável
2926103;;;;;casos insuficientes;;Não estimável
2926202;;;;;casos insuficientes;;Não estimável
2926301;;;;;casos insuficientes;;Não estimável
2926400;;;;;casos insuficientes;;Não estimável
2926509;;;;;casos insuficientes;;Não estimável
2926608;9,52015599719864e-01;8,32362702955421e-01;1,08886870938823e+00;4,73022850242793e-01;;6,45031159421990e-01;Estável
2926657;;;;;casos insuficientes;;Não estimável
2926707;;;;;casos insuficientes;;Não estimável
2926806;;;;;casos insuficientes;;Não estimável
2926905;;;;;casos insuficientes;;Não estimável
2927002;1,39328208377469e+00;1,00944576984817e+00;1,92307008751894e+00;4,36806159481670e-02;;1,11524976888937e-01;Estável
