code_muni;n_anos_AA;n_anos_BB;n_anos_sig;classe_persistencia;name_muni;abbrev_state;regiao;inc_sinan_ebl;idhm;ivs;pct_agua_rede;pct_esgoto_adeq;pct_agua_superficial;pct_esgoto_em_corpo_dagua;pct_lixo_coletado
2928307;0;0;0;Sem cluster relevante;Santanópolis;BA;Bahia;1,46406979316991315;0,592;;65,0181338608638;1,681503461918892;0,06594131223211341;0,23079459281239698;66,6996373227827
2928406;0;0;0;Sem cluster relevante;Santa Rita de Cássia;BA;Bahia;0,03127805132805447;0,605;;62,5095806416293;12,153728238256871;7,40172999014562549;0,03284791415745100;65,7505748384978
2928505;0;0;0;Sem cluster relevante;Santa Terezinha;BA;Bahia;0,26003053415916672;0,587;;86,1699476700723;9,244953899825568;0,57313730376277094;0,04983802641415400;65,5619237478196
2928604;0;0;0;Sem cluster relevante;Santo Amaro;BA;Bahia;0,74453478358418068;0,646;;82,0473126602487;58,395820231241835;0,15480625030235595;6,25030235595762207;87,3639398190702
2928703;0;0;0;Sem cluster relevante;Santo Antônio de Jesus;BA;Bahia;2,97803634654373450;0,700;;91,6416115453999;73,581008653821016;0,03660226411148004;2,12293131846584249;90,0546419514236
2928802;0;0;0;Sem cluster relevante;Santo Estêvão;BA;Bahia;0,58892124118593125;0,626;;87,5007180194152;19,254408639209604;0,20104543626859669;0,13785972772703772;69,6306508127980
2928901;0;0;1;Sem cluster relevante;São Desidério;BA;Bahia;2,06484914242989159;0,579;;73,8888888888889;1,101532567049808;6,29310344827586210;0,11494252873563218;65,1436781609195
2928950;0;0;0;Sem cluster relevante;São Domingos;BA;Bahia;1,34651449587296357;0,640;;92,0806985847636;73,682625715146045;0,24089129780186691;0,12044564890093346;88,5877747666366
2929008;0;0;0;Sem cluster relevante;São Félix;BA;Bahia;0,94381505080407269;0,639;;64,1730279898219;60,585241730279890;0,27989821882951654;2,54452926208651364;66,0559796437659
2929057;0;0;1;Sem cluster relevante;São Félix do Coribe;BA;Bahia;0,06556943039824990;0,639;;80,5919180421172;4,040978941377348;3,58565737051792865;0,07588692847656991;76,0956175298805
2929107;0;0;0;Sem cluster relevante;São Felipe;BA;Bahia;4,25132636510280371;0,616;;50,4632152588556;16,566757493188010;0,05449591280653951;1,34877384196185290;77,5068119891008
2929206;0;0;0;Sem cluster relevante;São Francisco do Conde;BA;Bahia;0,58983571776022281;0,674;;95,3954882924043;55,582524271844655;0,52826956025128502;10,22272986864648736;96,7946887492861
2929255;0;0;0;Sem cluster relevante;São Gabriel;BA;Bahia;2,77501719536616998;0,592;;81,7132157902949;1,778748634732407;0,20283975659229209;0,01560305819940708;83,5543766578249
2929305;0;0;0;Sem cluster relevante;São Gonçalo dos Campos;BA;Bahia;8,47832765886140294;0,627;;82,1918830199940;13,197552969262908;0,58191584601611457;0,38048343777976723;85,2432109817965
2929354;0;0;0;Sem cluster relevante;São José da Vitória;BA;Bahia;0,22182026703170707;0,546;;83,8427947598253;75,448811256671519;7,61766132945172192;4,60941290635613754;83,6001940805434
2929370;0;0;0;Sem cluster relevante;São José do Jacuípe;BA;Bahia;3,35341995344059418;0,552;;83,9622641509434;35,193920335429766;0,73375262054507340;0,13102725366876311;81,1844863731656
2929404;0;0;0;Sem cluster relevante;São Miguel das Matas;BA;Bahia;1,18955284085958435;0,593;;52,7777777777778;19,025157232704405;1,20545073375262057;1,91299790356394128;41,9287211740042
2929503;0;0;0;Sem cluster relevante;São Sebastião do Passé;BA;Bahia;5,50568837579266201;0,657;;75,8791644632470;56,643310417768376;0,05288207297726071;4,56107879428873542;85,8209941829720
2929602;0;0;0;Sem cluster relevante;Sapeaçu;BA;Bahia;4,77426424525843007;0,614;;81,5007078810760;10,224948875255624;0,03146138115463269;0,01573069057731634;74,8466257668712
2929701;0;0;0;Sem cluster relevante;Sátiro Dias;BA;Bahia;0,45315052508516629;0,527;;86,2762391956253;24,695713529723054;0,05291938613512083;0,00000000000000000;60,7161756923620
2929750;0;0;0;Sem cluster relevante;Saubara;BA;Bahia;0,62686338972436928;0,617;;96,5470548408937;33,039945836154367;0,04513653802753329;1,17354998871586558;95,5089144662604
2929800;0;0;0;Sem cluster relevante;Saúde;BA;Bahia;1,09892877023081037;0,549;;76,8511498610058;29,466767753348496;5,00379075056861211;0,00000000000000000;73,8943644174880
2929909;0;0;0;Sem cluster relevante;Seabra;BA;Bahia;0,82984095326903773;0,635;;78,2455477943490;3,083506387263231;0,10068592284941161;0,30205776854823485;74,7530048455100
2930006;0;0;0;Sem cluster relevante;Sebastião Laranjeiras;BA;Bahia;2,71908403275141186;0,615;;78,4794219289978;2,356267672007540;0,59692114357524340;0,00000000000000000;58,8752748978951
2930105;0;0;0;Sem cluster relevante;Senhor do Bonfim;BA;Bahia;3,20515341264839959;0,666;;95,8393753485778;63,253392823944978;0,10782673359360476;0,25655326268823203;91,3255251905559
2930154;0;0;0;Sem cluster relevante;Serra do Ramalho;BA;Bahia;0,22210966246407712;0,595;;89,4774073746573;3,236360420903705;3,14793527279158214;0,05305508886727386;38,3323017066054
2930204;0;0;0;Sem cluster relevante;Sento Sé;BA;Bahia;0,73251575058101326;0,585;;82,5670825499915;37,181678345581950;2,70893864296701414;0,12818321654418049;74,8675440095710
2930303;0;0;0;Sem cluster relevante;Serra Dourada;BA;Bahia;0,05694633561824589;0,608;;58,7995930824008;0,966429298067141;0,03390979993218040;0,00000000000000000;49,1861648016277
2930402;0;0;0;Sem cluster relevante;Serra Preta;BA;Bahia;0,96609941078887207;0,566;;58,2575887497856;20,768307322929171;0,84033613445378152;0,51449151089007039;69,5249528382782
2930501;0;0;0;Sem cluster relevante;Serrinha;BA;Bahia;0,72502186564941595;0,634;;93,9673969473575;57,425674038694495;0,07960405634582772;0,93794344650953521;80,6389090783235
2930600;0;0;0;Sem cluster relevante;Serrolândia;BA;Bahia;1,31860817218457727;0,590;;94,6923076923077;4,788461538461538;0,21153846153846154;0,00000000000000000;86,7500000000000
2930709;0;0;0;Sem cluster relevante;Simões Filho;BA;Bahia;1,59830041212308083;0,675;;94,1779359430605;71,957295373665474;0,60972716488730716;3,94306049822064075;94,2752075919336
2930758;0;0;0;Sem cluster relevante;Sítio do Mato;BA;Bahia;0,34215269791122965;0,564;;87,1193210184723;31,877184223664500;1,29805292061907140;0,09985022466300550;55,1672491263105
2930766;0;0;0;Sem cluster relevante;Sítio do Quinto;BA;Bahia;3,33294080761405986;0,533;;72,2710408123413;32,122632298379223;0,09763718023823471;0,03905487209529389;75,2782659636790
2930774;0;0;0;Sem cluster relevante;Sobradinho;BA;Bahia;1,08926611335438284;0,631;;92,0939147101102;83,696693818878771;2,49161475802587429;0,01197891710589363;90,3449928126497
2930808;0;0;0;Sem cluster relevante;Souto Soares;BA;Bahia;10,03737911191349852;0,592;;73,3321659954474;0,735422868149186;0,08755034144633164;0,01751006828926633;58,3435475398354
2930907;0;0;0;Sem cluster relevante;Tabocas do Brejo Velho;BA;Bahia;0,36921182358657861;0,584;;62,4393978055626;0,229650421025772;0,00000000000000000;0,05103342689461597;39,4743557029855
2931004;0;0;0;Sem cluster relevante;Tanhaçu;BA;Bahia;0,07603999663133645;0,577;;47,6060191518468;19,083447332421340;24,30916552667578401;0,88919288645690830;49,1244870041040
