code_muni;name_muni;uf;regiao;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebg;inc_sinan_ebl;examinados;positivos;posit_bruta;posit_ebl;rme_sinan;rme_pce
2924678;Piraí do Norte;BA;Bahia;4;85199,1895242468;4,6948803413929685;4,65803969101857085;2,99387083768563178;0;0;;;1,6605571041752085;
2932804;Utinga;BA;Bahia;5;142957,7002338816;3,4975380772213764;3,48959509923692623;2,98970241606547615;0;0;;;1,2370627745392264;
2928703;Santo Antônio de Jesus;BA;Bahia;25;835929,5534547125;2,9906826354781351;2,99034820861916062;2,97803634654373450;0;0;;;1,0577903877318382;
2925956;Rafael Jambeiro;BA;Bahia;5;170298,5287840515;2,9360206665908963;2,93493694975790298;2,90898892138082488;0;0;;;1,0384567063249599;
3135605;Jequitaí;MG;Norte de Minas;2;55797,9888751449;3,5843585769287358;3,56178989708830729;2,90695916612421934;0;0;;;1,2677707771066196;
2933158;Várzea Nova;BA;Bahia;3;105349,9713078316;2,8476514637427175;2,84732544047684799;2,86717649503824523;0;0;;;1,0072009347377535;
2922607;Nilo Peçanha;BA;Bahia;3;105265,2129648928;2,8499443600617944;2,84958133187507512;2,83707866313977375;0;0;;;1,0080119213859566;
2919926;Madre de Deus;BA;Bahia;9;160752,5300429800;5,5986677146503974;5,56942184896186632;2,80352389225754273;0;0;;;1,9802224490178828;
2929255;São Gabriel;BA;Bahia;6;151106,5395119281;3,9707083620470116;3,95788046397898619;2,77501719536616998;0;0;;;1,4044208797127211;
2914307;Iramaia;BA;Bahia;2;77255,9126543957;2,5887986191387040;2,59397643854857440;2,74935731487031276;0;0;;;0,9156459005756642;
2901155;América Dourada;BA;Bahia;3;126017,3811321376;2,3806239846028072;2,38661941311162096;2,72065473534817404;0;0;;;0,8420155110554285;
2930006;Sebastião Laranjeiras;BA;Bahia;3;83918,1762952826;3,5749108625095842;3,55994247753833593;2,71908403275141186;0;0;;;1,2644291649341810;
2903508;Belo Campo;BA;Bahia;4;143902,3505628366;2,7796627256990871;2,78022351482500651;2,71523593898812310;0;0;;;0,9831536377349164;
2907608;Central;BA;Bahia;2;135731,6096537817;1,4734961186281617;1,49038322385049860;2,65304981390925088;0;0;;;0,5211686496437135;
2911006;Floresta Azul;BA;Bahia;2;87619,8700765899;2,2825872695905254;2,29304114240840384;2,65075127294195045;0;0;;;0,8073403858667546;
2911402;Glória;BA;Bahia;5;124408,6236977208;4,0190139970912648;4,00281401639949408;2,64678411653182755;0;0;;;1,4215063557230911;
2909109;Coribe;BA;Bahia;3;113833,0258347745;2,6354390371335801;2,63828574534944815;2,64380092988688409;0;0;;;0,9321423971445443;
2914505;Irará;BA;Bahia;8;232294,6627713401;3,4439017687956195;3,43938412827252726;2,63522231866936885;0;0;;;1,2180918644155196;
3142700;Montalvânia;MG;Norte de Minas;2;115654,9114100692;1,7292823760062774;1,74532168755327777;2,62312021294087661;0;0;;;0,6116390463212987;
2903201;Barreiras;BA;Bahia;36;1291822,0317303585;2,7867615751822283;2,78681529569909836;2,62159512985612908;0;0;;;0,9856644674224742;
2910750;Fátima;BA;Bahia;5;144160,7347340384;3,4683508024736991;3,46081637156361577;2,60533598311644488;0;0;;;1,2267393726824307;
2907400;Catolândia;BA;Bahia;2;28407,4324675303;7,0404109990792056;6,80060757805090610;2,58981410888456809;0;0;;;2,4901602704884995;
2913804;Ipecaetá;BA;Bahia;5;113369,3655335392;4,4103625141315614;4,38677837049508934;2,58784898256681428;0;0;;;1,5599244863089039;
3132008;Itacambira;MG;Norte de Minas;1;38604,4950393302;2,5903719216666388;2,60044650781436815;2,48110172268629725;0;0;;;0,9162023702830482;
2922201;Muniz Ferreira;BA;Bahia;1;59129,4063455149;1,6912058852014025;1,72321905694954158;2,47445929537280529;0;0;;;0,5981715705369558;
2905305;Cafarnaum;BA;Bahia;1;145203,1879990044;0,6886901133374955;0,71364699347905380;2,40035645890224281;0;0;;;0,2435864552702316;
2914109;Ipupiara;BA;Bahia;2;80273,6891310301;2,4914763749494750;2,49849875633231822;2,36430484417411124;0;0;;;0,8812234803580811;
2921005;Mata de São João;BA;Bahia;9;363420,7199450829;2,4764685957806711;2,47811588391783522;2,32628466895208907;0;0;;;0,8759152994238559;
2931707;Terra Nova;BA;Bahia;2;95765,8568147443;2,0884269890352778;2,10142217695716127;2,31277507167113638;0;0;;;0,7386668074621965;
2919108;Lamarão;BA;Bahia;2;69787,8522752581;2,8658282706732057;2,86490425317095765;2,29735456070390542;0;0;;;1,0136299858923752;
2924900;Planaltino;BA;Bahia;3;70031,1732192451;4,2838065708366226;4,24900062567540449;2,29611339813528792;0;0;;;1,5151622441573493;
3141009;Mato Verde;MG;Norte de Minas;3;98369,5880635322;3,0497230486138087;3,04591270500359457;2,21151112638269609;0;0;;;1,0786727042845097;
2919306;Lençóis;BA;Bahia;3;89917,2133069508;3,3364023301732972;3,32687655727312404;2,17868891482755123;0;0;;;1,1800698183741545;
3107307;Bocaiúva;MG;Norte de Minas;1;397038,1507583203;0,2518649651400141;0,26293834163069113;2,15976885500216298;0;0;;;0,0890834540485863;
2922854;Nova Redenção;BA;Bahia;2;67020,5260904768;2,9841604008002363;2,98024757149641184;2,14509324690102243;0;0;;;1,0554835039899899;
2901304;Andaraí;BA;Bahia;2;106009,5889894419;1,8866217849398426;1,90159307039838987;2,14035948960624012;0;0;;;0,6672892555434236;
2915007;Itaeté;BA;Bahia;4;119043,8779123954;3,3601055931188721;3,35254088554645735;2,13946892425129809;0;0;;;1,1884535510391556;
3151206;Pirapora;MG;Norte de Minas;12;453549,2095070902;2,6457989008604823;2,64648239089149451;2,11067004377016998;0;0;;;0,9358066322387428;
2901106;Amélia Rodrigues;BA;Bahia;4;198677,4271910475;2,0133137702420587;2,02027790386364581;2,07853836200641862;0;0;;;0,7120996151133624;
2928901;São Desidério;BA;Bahia;7;272349,3646365459;2,5702281366955271;2,57183627774761492;2,06484914242989159;0;0;;;0,9090776082430357;
2920601;Maragogipe;BA;Bahia;7;325587,6165268907;2,1499589187913299;2,15350695484896404;2,05747338404110902;0;0;;;0,7604303617298451;
2931608;Teolândia;BA;Bahia;2;122773,7432930327;1,6290128054713284;1,64551585375875820;2,05133426302610200;0;0;;;0,5761741706318354;
2919405;Licínio de Almeida;BA;Bahia;1;97787,5454156969;1,0226251162650406;1,05372075649724772;2,04827240232534713;0;0;;;0,3616976958390548;
2916005;Itanhém;BA;Bahia;5;149759,1274809734;3,3386946652952698;3,33290624496492782;2,03896691671674768;0;0;;;1,1808806065295800;
3127073;Fruta de Leite;MG;Norte de Minas;0;39759,9567752465;0,0000000000000000;0,11687576565046023;2,03736017153683724;0;0;;;0,0000000000000000;
2917201;Ituaçu;BA;Bahia;3;149090,1978177261;2,0122047216462366;2,02147139341815629;2,01190846988896155;0;0;;;0,7117073498391165;
3139300;Manga;MG;Norte de Minas;3;149536,4011304658;2,0062004818362555;2,01550787650720808;2,01181111223237563;0;0;;;0,7095836784467425;
2901403;Angical;BA;Bahia;1;111875,2181234294;0,8938530058522185;0,92303573484982393;1,99968972121969601;0;0;;;0,3161516057970237;
2911857;Heliópolis;BA;Bahia;4;103163,7347441920;3,8773315156905892;3,86016609202718231;1,98563360577907311;0;0;;;1,3713939281596532;
2933174;Varzedo;BA;Bahia;1;75891,6851876123;1,3176674065517113;1,35101827284565545;1,98064493513797024;0;0;;;0,4660527667975389;
2925600;Presidente Dutra;BA;Bahia;2;122447,8036119519;1,6333490197490026;1,64983551400047768;1,97851026850467870;0;0;;;0,5777078692355109;
2906709;Cândido Sales;BA;Bahia;4;204524,8269559762;1,9557527853872709;1,96299797850456481;1,97413025241007856;0;0;;;0,6917405653882357;
2919553;Luís Eduardo Magalhães;BA;Bahia;12;810258,1771745482;1,4810094286052389;1,48385211694887764;1,95902489888833409;0;0;;;0,5238260720594261;
2902104;Araci;BA;Bahia;8;416271,4296590074;1,9218229813545633;1,92553702009146810;1,95279271090378237;0;0;;;0,6797397532199178;
2917607;Jaguaquara;BA;Bahia;8;406340,6027457911;1,9687916850890836;1,97239876821564120;1,94326286012235294;0;0;;;0,6963523629115032;
2908903;Coração de Maria;BA;Bahia;7;201031,8405180339;3,4820354735657171;3,47649875685935594;1,93305993583277758;0;0;;;1,2315795765103752;
2902302;Aratuípe;BA;Bahia;1;70801,6914875861;1,4123956348914823;1,44584779351409187;1,92758895703557598;0;0;;;0,4995576958047108;
3109402;Buritizeiro;MG;Norte de Minas;4;208223,8699191937;1,9210093451592731;1,92841061701781591;1,92211386979669441;0;0;;;0,6794519739228841;
3162450;São João das Missões;MG;Norte de Minas;2;105551,6478358495;1,8948069888120891;1,90971136161222099;1,91466769114434698;0;0;;;0,6701843236710063;
2923605;Paramirim;BA;Bahia;3;169659,3827889314;1,7682487998510623;1,77884386258945715;1,91236349754826152;0;0;;;0,6254212872379142;
2924801;Piritiba;BA;Bahia;3;170221,4775654463;1,7624097986381113;1,77302844844493124;1,90408878899408918;0;0;;;0,6233560599604546;
2908200;Conceição da Feira;BA;Bahia;3;175642,6120217874;1,7080137703872615;1,71883368749109611;1,89234846327590311;0;0;;;0,6041164405063700;
2924108;Pedrão;BA;Bahia;0;54854,3596513797;0,0000000000000000;0,08568952126091881;1,89168364086378138;0;0;;;0,0000000000000000;
2911808;Guaratinga;BA;Bahia;3;160319,2383730324;1,8712663747937537;1,88138213650019903;1,88742715689705198;0;0;;;0,6618581191668900;
2918605;Jussiape;BA;Bahia;0;54357,2909982168;0,0000000000000000;0,08644914715539960;1,88641745004056838;0;0;;;0,0000000000000000;
2927002;Rio Real;BA;Bahia;6;308887,2628411794;1,9424562686111861;1,94734046637342484;1,88523065916773058;0;0;;;0,6870376499169626;
2925907;Quijingue;BA;Bahia;6;214440,7126598623;2,7979761518126325;2,79820868010026347;1,88521582285167444;0;0;;;0,9896310104522823;
2922003;Mucuri;BA;Bahia;6;325022,8127272427;1,8460242681596524;1,85117327268261267;1,87525213147986447;0;0;;;0,6529301047239983;
2924652;Pintadas;BA;Bahia;3;83790,1944399940;3,5803712117513213;3,56527093479322854;1,87523767778288120;0;0;;;1,2663604647896216;
2918555;Jussari;BA;Bahia;1;47176,8880786434;2,1196819899036381;2,14449595901166434;1,86803447830209235;0;0;;;0,7497215543266414;
2915304;Itagimirim;BA;Bahia;2;53169,9706796656;3,7615217282128066;3,73233815359903653;1,86248616604580697;0;0;;;1,3304325507985013;
2923357;Ourolândia;BA;Bahia;3;148974,9871409613;2,0137608719250135;2,02301692330866389;1,86072794128328778;0;0;;;0,7122577528766135;
3155603;Rio Pardo de Minas;MG;Norte de Minas;2;239099,8378924813;0,8364706633131898;0,85064440028706190;1,85533262748765937;0;0;;;0,2958557410191095;
2908408;Conceição do Coité;BA;Bahia;10;547500,5995545560;1,8264820181267301;1,82960625273224209;1,83114552226654737;0;0;;;0,6460181027635586;
2904605;Brumado;BA;Bahia;10;560299,2770470618;1,7847604681381837;1,78794083127337111;1,79693608892303014;0;0;;;0,6312613866828830;
2918704;Lafaiete Coutinho;BA;Bahia;2;31508,3575924919;6,3475222220931649;6,16585836187305425;1,77947447022628613;0;0;;;2,2450887676254330;
