code_muni;name_muni;uf;regiao;pop_central;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebl;rme_sinan;examinados;positivos;posit_ebl;idhm;ivs;pct_agua_rede;pct_esgoto_adeq;cluster;p_lisa_aj;Gi_cluster;n_anos_AA;classe_persistencia;RR_anual;classe_tendencia
3138658;Lontra;MG;Norte de Minas;8790,00000000000;3;73748,5539363119;4,0678763716380830;4,42851004743666721;1,4387887478780563;0;0;;0,646;;93,6591809775429;38,309114927344787;Não significativo;0,3859686666666667;Não significativo;0;Sem cluster relevante;;Não estimável
2902807;Barra da Estiva;BA;Bahia;26025,99999999999;12;190144,7066941733;6,3109829395885688;4,39599056596066173;2,2321649951898466;0;0;;0,575;;75,7442372292367;48,360940576856251;Não significativo;0,4984820359281438;Não significativo;0;Sem cluster relevante;1,97317754634771e+00;Estável
2905008;Caculé;BA;Bahia;22462,00000000000;8;184764,6378904398;4,3298328572720584;4,39424570673060266;1,5314415252809421;0;0;;0,637;;90,3155742941101;17,056343426600229;Não significativo;0,4866932668329177;Não significativo;0;Sem cluster relevante;8,86430065932361e-01;Estável
3112703;Capitão Enéas;MG;Norte de Minas;14108,00000000001;1;118253,7471564498;0,8456391649703913;4,30283644619697991;0,2990985969503409;0;0;;0,639;;73,0811283621255;53,597200962169254;Não significativo;0,4315919642857143;Não significativo;0;Sem cluster relevante;;Não estimável
3161106;São Francisco;MG;Norte de Minas;52762,00000000002;18;440307,4027744441;4,0880530026475270;4,25940237933983390;1,4459251274074039;0;0;;0,638;;78,2036509187943;41,106192006792405;Não significativo;0,2543742857142857;Não significativo;0;Sem cluster relevante;9,66215170975849e-01;Estável
2929107;São Felipe;BA;Bahia;20283,00000000001;10;167028,0531604325;5,9870182348320125;4,25132636510280371;2,1175802022096040;0;0;;0,616;;50,4632152588556;16,566757493188010;Não significativo;0,4984820359281438;Não significativo;0;Sem cluster relevante;1,77865490621169e+00;Crescente
2903607;Biritinga;BA;Bahia;15146,00000000001;7;125656,2796904440;5,5707522276201367;4,17981779335254355;1,9703488724975371;0;0;;0,538;;77,5475923852184;20,698021649869354;Não significativo;0,4866932668329177;Não significativo;0;Sem cluster relevante;1,37517853775364e+00;Estável
2912103;Ibicaraí;BA;Bahia;21665,00000000001;7;174090,8686558467;4,0208886623674802;4,05633143117293393;1,4221694160177112;0;0;;0,625;;94,4932066851028;69,195623421906944;Não significativo;0,4479010600706714;Não significativo;0;Sem cluster relevante;5,49610138482486e-01;Decrescente
2909208;Coronel João Sá;BA;Bahia;17055,99999999999;7;132531,4192305809;5,2817664223615193;4,04256678107205758;1,8681359518194329;0;0;;0,535;;57,1025555924328;35,097909060736811;Não significativo;0,4772403030303030;Não significativo;0;Sem cluster relevante;9,67472767327746e-01;Estável
3170651;Vargem Grande do Rio Pardo;MG;Norte de Minas;4633,00000000000;2;38828,7639897756;5,1508206661603824;4,04200011308545992;1,8218210534812833;0;0;;0,634;;76,7441860465116;0,281888653981677;Não significativo;0,4891527058823530;Não significativo;0;Sem cluster relevante;;Não estimável
3137304;Lagoa dos Patos;MG;Norte de Minas;3313,00000000000;0;29503,9702938947;0,0000000000000000;4,01324793565220883;0,0000000000000000;0;0;;0,634;;76,7827529021559;66,832504145936980;Não significativo;0,4390004065040651;Não significativo;0;Sem cluster relevante;;Não estimável
3111150;Campo Azul;MG;Norte de Minas;3714,00000000000;1;30360,7424073505;3,2937270985767979;4,00432376544791246;1,1649757895923980;0;0;;0,621;;45,2194357366771;0,313479623824451;Não significativo;0,0798882352941176;Hot spot;0;Sem cluster relevante;;Não estimável
